Author,Work,1952 Ed.,1990 Ed.,Suitable for SE,Exists on SE
Homer,The Iliad,✔,✔,Yes,homer/the-iliad/william-cullen-bryant
Homer,The Odyssey,✔,✔,Yes,homer/the-odyssey/william-cullen-bryant
Aeschylus,The Suppliant Maidens,✔,✔,Yes,
Aeschylus,The Persians,✔,✔,Yes,
Aeschylus,Seven Against Thebes,✔,✔,Yes,
Aeschylus,Prometheus Bound,✔,✔,Yes,
Aeschylus,Agamemnon,✔,✔,Yes,
Aeschylus,Choephoroe,✔,✔,Yes,
Aeschylus,The Eumenides,✔,✔,Yes,aeschylus/the-eumenides/gilbert-murray
Sophocles,Oedipus the King,✔,✔,Yes,
Sophocles,Oedipus at Colonus,✔,✔,Yes,
Sophocles,Antigone,✔,✔,Yes,
Sophocles,Ajax,✔,✔,Yes,
Sophocles,Electra,✔,✔,Yes,
Sophocles,The Trachiniae,✔,✔,Yes,
Sophocles,Philoctetes,✔,✔,Yes,
Euripides,Rhesus,✔,✔,Yes,
Euripides,Medea,✔,✔,Yes,
Euripides,Hippolytus,✔,✔,Yes,
Euripides,Alcestis,✔,✔,Yes,
Euripides,Heracleidae,✔,✔,Yes,
Euripides,The Suppliants,✔,✔,Yes,
Euripides,The Trojan Women,✔,✔,Yes,
Euripides,Ion,✔,✔,Yes,
Euripides,Helen,✔,✔,Yes,
Euripides,Andromache,✔,✔,Yes,
Euripides,Electra,✔,✔,Yes,
Euripides,Bacchantes,✔,✔,Yes,
Euripides,Hecuba,✔,✔,Yes,
Euripides,Heracles Mad,✔,✔,Yes,
Euripides,The Phoenician Women,✔,✔,Yes,
Euripides,Orestes,✔,✔,Yes,
Euripides,Iphigenia in Tauris,✔,✔,Yes,
Euripides,Iphigenia in Aulis,✔,✔,Yes,
Euripides,Cyclops,✔,✔,Yes,
Aristophanes,The Acharnians,✔,✔,Yes,
Aristophanes,The Knights,✔,✔,Yes,
Aristophanes,The Clouds,✔,✔,Yes,
Aristophanes,The Wasps,✔,✔,Yes,
Aristophanes,Peace,✔,✔,Yes,
Aristophanes,The Birds,✔,✔,Yes,
Aristophanes,The Frogs,✔,✔,Yes,
Aristophanes,Lysistrata,✔,✔,Yes,
Aristophanes,Thesmophoriazusae,✔,✔,Yes,
Aristophanes,Ecclesiazousae,✔,✔,Yes,
Aristophanes,Plutus,✔,✔,Yes,
Herodotus,The History,✔,✔,Yes,herodotus/histories/g-c-macaulay
Thucydides,History of the Peloponnesian War,✔,✔,Yes,
Plato,Charmides,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Lysis,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Laches,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Protagoras,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Euthydemus,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Cratylus,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Phaedrus,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Ion,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Symposium,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Meno,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Euthyphro,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Apology,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Crito,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Phaedo,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Gorgias,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,The Republic,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Timaeus,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Critias,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Parmenides,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Theaetetus,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Sophist,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Statesman,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Philebus,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,Laws,✔,✔,"Yes, omnibus",plato/dialogues/benjamin-jowett
Plato,The Seventh Letter,✔,✔,Yes,
Aristotle,Categories,✔,✔,Yes,
Aristotle,On Interpretation,✔,✔,Yes,
Aristotle,Prior Analytics,✔,✔,Yes,
Aristotle,Posterior Analytics,✔,✔,Yes,
Aristotle,Topics,✔,✔,Yes,
Aristotle,Sophistical Refutations,✔,✔,Yes,
Aristotle,Physics,✔,✔,Yes,
Aristotle,On the Heavens,✔,✔,Yes,
Aristotle,On Generation and Corruption,✔,✔,Yes,
Aristotle,Meteorology,✔,✔,Yes,
Aristotle,Metaphysics,✔,✔,Yes,
Aristotle,On the Soul,✔,✔,Yes,
Aristotle,Minor biological works,✔,✔,"Yes, omnibus?",
Aristotle,History of Animals,✔,✔,"Yes, omnibus",
Aristotle,Parts of Animals,✔,✔,"Yes, omnibus",
Aristotle,On the Motion of Animals,✔,✔,"Yes, omnibus",
Aristotle,On the Gait of Animals,✔,✔,"Yes, omnibus",
Aristotle,On the Generation of Animals,✔,✔,"Yes, omnibus",
Aristotle,Nicomachean Ethics,✔,✔,Yes,aristotle/nicomachean-ethics/f-h-peters
Aristotle,Politics,✔,✔,Yes,
Aristotle,The Athenian Constitution,✔,✔,???,
Aristotle,Rhetoric,✔,✔,???,
Aristotle,Poetics,✔,✔,Yes,
Hippocrates,Works (is this the Hippocratic Corpus?),✔,✔,Yes,
Galen,On the Natural Faculties,✔,✔,Yes,
Euclid,The Thirteen Books of Euclid’s Elements,✔,✔,Yes,
Archimedes,On the Sphere and Cylinder,✔,✔,Yes,
Archimedes,Measurement of a Circle,✔,✔,Yes,
Archimedes,On Conoids and Spheroids,✔,✔,Yes,
Archimedes,On Spirals,✔,✔,Yes,
Archimedes,On the Equilibrium of Planes,✔,✔,Yes,
Archimedes,The Sand Reckoner,✔,✔,Yes,
Archimedes,The Quadrature of the Parabola,✔,✔,Yes,
Archimedes,On Floating Bodies,✔,✔,Yes,
Archimedes,Book of Lemmas,✔,✔,Yes,
Archimedes,The Method Treating of Mechanical Problems,✔,✔,Yes,
Apollonius of Perga,On Conic Sections,✔,✔,???,
Nichomachus of Gerasa,Introduction to Arithmetic,✔,✔,???,
Lucretius,On the Nature of Things,✔,✔,Yes,
Epictetus,The Discourses,✔,✔,Yes,epictetus/discourses
Marcus Aurelius,The Meditations,✔,✔,Yes,marcus-aurelius/meditations/george-long
Virgil,Eclogues,✔,✔,Yes,virgil/the-eclogues/john-dryden
Virgil,Georgics,✔,✔,Yes,virgil/the-georgics/john-dryden
Virgil,Aeneid,✔,✔,Yes,virgil/the-aeneid/john-dryden
Plutarch,The Lives of the Noble Grecians and Romans,✔,✔,Yes,
Tacitus,The Annals,✔,✔,Yes,
Tacitus,The Histories,✔,✔,Yes,
Ptolemy,Almagest,✔,✔,Yes,
Nicolaus Copernicus,On the Revolutions of Heavenly Spheres,✔,✔,Yes,
Johannes Kepler,Epitome of Copernican Astronomy,✔,✔,Yes,
Johannes Kepler,The Harmonies of the World,✔,✔,Yes,
Plotinus,The Six Enneads,✔,✔,Yes,
Augustine of Hippo,Confessions,✔,✔,Yes,
Augustine of Hippo,The City of God,✔,✔,Yes,
Augustine of Hippo,On Christian Doctrine,✔,✔,Yes,
Thomas Aquinas,Summa Theologica,✔,✔,Yes,
Dante,Divine Comedy,✔,✔,Yes,dante-alighieri/the-divine-comedy/henry-wadsworth-longfellow
Geoffrey Chaucer,Troilus and Criseyde,✔,✔,Yes,
Geoffrey Chaucer,The Canterbury Tales,✔,✔,Yes,geoffrey-chaucer/the-canterbury-tales
Niccolò Machiavelli,The Prince,✔,✔,Yes,niccolo-machiavelli/the-prince/w-k-marriott
Thomas Hobbes,Leviathan,✔,✔,Yes,
François Rabelais,Gargantua and Pantagruel,✔,✔,Yes,
William Shakespeare,The First Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-i
William Shakespeare,The Second Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-ii
William Shakespeare,The Third Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-iii
William Shakespeare,The Tragedy of Richard the Third,✔,✔,Yes,william-shakespeare/richard-iii
William Shakespeare,The Comedy of Errors,✔,✔,Yes,william-shakespeare/the-comedy-of-errors
William Shakespeare,Titus Andronicus,✔,✔,Yes,
William Shakespeare,The Taming of the Shrew,✔,✔,Yes,william-shakespeare/the-taming-of-the-shrew
William Shakespeare,The Two Gentlemen of Verona,✔,✔,Yes,william-shakespeare/the-two-gentlemen-of-verona
William Shakespeare,Love’s Labour’s Lost,✔,✔,Yes,
William Shakespeare,Romeo and Juliet,✔,✔,Yes,william-shakespeare/romeo-and-juliet
William Shakespeare,The Tragedy of King Richard the Second,✔,✔,Yes,william-shakespeare/richard-ii
William Shakespeare,A Midsummer Night’s Dream,✔,✔,Yes,william-shakespeare/a-midsummer-nights-dream
William Shakespeare,The Life and Death of King John,✔,✔,Yes,william-shakespeare/king-john
William Shakespeare,The Merchant of Venice,✔,✔,Yes,william-shakespeare/the-merchant-of-venice
William Shakespeare,The First Part of King Henry the Fourth,✔,✔,Yes,william-shakespeare/henry-iv-part-i
William Shakespeare,The Second Part of King Henry the Fourth,✔,✔,Yes,william-shakespeare/henry-iv-part-ii
William Shakespeare,Much Ado About Nothing,✔,✔,Yes,william-shakespeare/much-ado-about-nothing
William Shakespeare,The Life of King Henry the Fifth,✔,✔,Yes,william-shakespeare/henry-v
William Shakespeare,Julius Caesar,✔,✔,Yes,william-shakespeare/julius-caesar
William Shakespeare,As You Like It,✔,✔,Yes,william-shakespeare/as-you-like-it
William Shakespeare,"Twelfth Night; or, What You Will",✔,✔,Yes,william-shakespeare/twelfth-night
William Shakespeare,"The Tragedy of Hamlet, Prince of Denmark",✔,✔,Yes,william-shakespeare/hamlet
William Shakespeare,The Merry Wives of Windsor,✔,✔,Yes,william-shakespeare/the-merry-wives-of-windsor
William Shakespeare,Troilus and Cressida,✔,✔,Yes,
William Shakespeare,All’s Well That Ends Well,✔,✔,Yes,william-shakespeare/alls-well-that-ends-well
William Shakespeare,Measure for Measure,✔,✔,Yes,
William Shakespeare,"Othello, the Moor of Venice",✔,✔,Yes,william-shakespeare/othello
William Shakespeare,King Lear,✔,✔,Yes,william-shakespeare/king-lear
William Shakespeare,Macbeth,✔,✔,Yes,william-shakespeare/macbeth
William Shakespeare,Antony and Cleopatra,✔,✔,Yes,william-shakespeare/antony-and-cleopatra
William Shakespeare,Coriolanus,✔,✔,Yes,william-shakespeare/coriolanus
William Shakespeare,Timon of Athens,✔,✔,Yes,william-shakespeare/timon-of-athens
William Shakespeare,"Pericles, Prince of Tyre",✔,✔,Yes,william-shakespeare/pericles
William Shakespeare,Cymbeline,✔,✔,Yes,
William Shakespeare,The Winter’s Tale,✔,✔,Yes,
William Shakespeare,The Tempest,✔,✔,Yes,william-shakespeare/the-tempest
William Shakespeare,Henry VIII,✔,✔,Yes,william-shakespeare/henry-viii
William Shakespeare,Sonnets,✔,✔,Yes,william-shakespeare/poetry
William Gilbert,On the Loadstone and Magnetic Bodies,✔,✔,"No, old science",—
Galileo Galilei,Dialogues Concerning the Two New Sciences,✔,✔,Yes,
William Harvey,On the Motion of the Heart and Blood in Animals,✔,✔,"No, old science",—
William Harvey,On the Circulation of Blood,✔,✔,"No, old science",—
William Harvey,On the Generation of Animals,✔,✔,"No, old science",—
Miguel de Cervantes,Don Quixote,✔,✔,Yes,miguel-de-cervantes-saavedra/don-quixote/john-ormsby
Sir Francis Bacon,The Advancement of Learning,✔,✔,Yes,
Sir Francis Bacon,Novum Organum,✔,✔,Yes,
Sir Francis Bacon,New Atlantis,✔,✔,Yes,
René Descartes,Rules for the Direction of the Mind,✔,✔,"No, too short",—
René Descartes,Discourse on the Method,✔,✔,Yes,
René Descartes,Meditations on First Philosophy,✔,✔,"Yes, omnibus?",
René Descartes,Objections Against the Meditations and Replies,✔,✔,"Yes, omnibus?",
René Descartes,The Geometry,✔,✔,Yes,
Benedict de Spinoza,Ethics,✔,✔,Yes,
John Milton,English Minor Poems,✔,✔,Yes,
John Milton,Paradise Lost,✔,✔,Yes,john-milton/paradise-lost
John Milton,Samson Agonistes,✔,✔,Yes,
John Milton,Areopagitica,✔,✔,"No, too short",—
Blaise Pascal,The Provincial Letters,✔,✔,Yes,
Blaise Pascal,Pensées,✔,✔,Yes,
Blaise Pascal,Scientific and mathematical essays,✔,✔,No?,—
Sir Isaac Newton,Mathematical Principles of Natural Philosophy,✔,✔,Yes,
Sir Isaac Newton,Optics,✔,✔,Less notable,—
Christiaan Huygens,Treatise on Light,✔,✔,No,—
John Locke,A Letter Concerning Toleration,✔,✔,"No, too short",—
John Locke,"Concerning Civil Government, Second Essay",✔,✔,Yes,
John Locke,An Essay Concerning Human Understanding,✔,✔,Yes,
George Berkeley,The Principles of Human Knowledge,✔,✔,"No, short",—
David Hume,An Enquiry Concerning Human Understanding,✔,✔,Yes,david-hume/an-enquiry-concerning-human-understanding
Jonathan Swift,Gulliver’s Travels,✔,✔,Yes,jonathan-swift/gullivers-travels
Laurence Sterne,"The Life and Opinions of Tristram Shandy, Gentleman",✔,✗,Yes,laurence-sterne/the-life-and-opinions-of-tristram-shandy-gentleman
Charles de Secondat,The Spirit of the Laws,✔,✔,Yes,
Jean‐Jacques Rousseau,A Discourse on the Origin of Inequality,✔,✔,"Yes, omnibus",
Jean‐Jacques Rousseau,A Discourse on Political Economy,✔,✔,"Yes, omnibus",
Jean‐Jacques Rousseau,The Social Contract,✔,✔,Yes,
Adam Smith,The Wealth of Nations,✔,✔,Yes,adam-smith/the-wealth-of-nations
Edward Gibbon,The Decline and Fall of the Roman Empire,✔,✔,Yes,edward-gibbon/the-history-of-the-decline-and-fall-of-the-roman-empire
Immanuel Kant,The Critique of Pure Reason,✔,✔,Yes,
Immanuel Kant,Fundamental Principles of the Metaphysic of Morals,✔,✔,Yes,
Immanuel Kant,Critique of Practical Reason,✔,✔,Yes,
Immanuel Kant,Excerpts from The Metaphysics of Morals,✔,✔,Yes,
Immanuel Kant,The Critique of Judgement,✔,✔,Yes,
Henry Fielding,"The History of Tom Jones, a Foundling",✔,✗,Yes,henry-fielding/the-history-of-tom-jones-a-foundling
American State Papers,Declaration of Independence,✔,✔,No,—
American State Papers,Articles of Confederation,✔,✔,No,—
American State Papers,The Constitution of the United States of America,✔,✔,No,—
"Hamilton, Madison, Jay",The Federalist,✔,✔,Yes,alexander-hamilton_john-jay_james-madison/the-federalist-papers
John Stuart Mill,On Liberty,✔,✔,Yes,john-stuart-mill/on-liberty
John Stuart Mill,Considerations on Representative Government,✔,✔,Yes,
John Stuart Mill,Utilitarianism,✔,✔,"Short, omnibus?",
James Boswell,"The Life of Samuel Johnson, LL.D.",✔,✔,Yes,
Antoine Laurent Lavoisier,Elements of Chemistry,✔,✔,"No, outdated science",—
Jean Baptiste Joseph Fourier,Analytical Theory of Heat,✔,✔,"No, outdated science",—
Michael Faraday,Experimental Researches in Electricity,✔,✔,"No, outdated science",—
Georg Wilhelm Friedrich Hegel,The Philosophy of Right,✔,✔,Yes,
Georg Wilhelm Friedrich Hegel,The Philosophy of History,✔,✔,Yes,
Johann Wolfgang von Goethe,Faust,✔,✔,Yes,
Herman Melville,"Moby Dick; or, The Whale",✔,✔,Yes,herman-melville/moby-dick
Charles Darwin,The Origin of Species by Means of Natural Selection,✔,✔,Yes,charles-darwin/the-origin-of-species
Charles Darwin,"The Descent of Man, and Selection in Relation to Sex",✔,✔,Yes,
Karl Marx,Capital,✔,✔,Yes,
Karl Marx and Friedrich Engels,Manifesto of the Communist Party,✔,✔,Yes,karl-marx_friedrich-engels/the-communist-manifesto/samuel-moore
Count Leo Tolstoy,War and Peace,✔,✔,Yes,leo-tolstoy/war-and-peace/louise-maude_aylmer-maude
Fyodor Mikhailovich Dostoevsky,The Brothers Karamazov,✔,✔,Yes,fyodor-dostoevsky/the-brothers-karamazov/constance-garnett
William James,The Principles of Psychology,✔,✔,Yes,
Sigmund Freud,The Origin and Development of Psycho‐Analysis,✔,✔,???,
Sigmund Freud,Selected Papers on Hysteria,✔,✔,???,
Sigmund Freud,The Sexual Enlightenment of Children,✔,✔,???,
Sigmund Freud,The Future Prospects of Psycho‐Analytic Therapy,✔,✔,???,
Sigmund Freud,Observations on “Wild” Psycho‐Analysis,✔,✔,???,
Sigmund Freud,The Interpretation of Dreams,✔,✔,Yes,
Sigmund Freud,On Narcissism,✔,✔,???,
Sigmund Freud,Instincts and Their Vicissitudes,✔,✔,???,
Sigmund Freud,Repression,✔,✔,???,
Sigmund Freud,The Unconscious,✔,✔,???,
Sigmund Freud,A General Introduction to Psycho‐Analysis,✔,✔,Yes,
Sigmund Freud,Beyond the Pleasure Principle,✔,✔,???,
Sigmund Freud,Group Psychology and the Analysis of the Ego,✔,✔,Yes,
Sigmund Freud,The Ego and the Id,✔,✔,???,
Sigmund Freud,"Inhibitions, Symptoms, and Anxiety",✔,✔,???,
Sigmund Freud,Thoughts for the Times on War and Death,✔,✔,"Yes, omnibus",
Sigmund Freud,Civilization and Its Discontents,✔,✔,???,
Sigmund Freud,New Introductory Lectures on Psycho‐Analysis,✔,✔,???,
John Calvin,Institutes of the Christian Religion,✗,✔,Yes,
Erasmus,The Praise of Folly,✗,✔,Yes,
Molière,The School for Wives,✗,✔,Yes,
Molière,The Critique of the School for Wives,✗,✔,Yes,
Molière,Tartuffe,✗,✔,Yes,moliere/tartuffe/curtis-hidden-page
Molière,Don Juan,✗,✔,Yes,
Molière,The Miser,✗,✔,Yes,
Molière,The Miser,✗,✔,Yes,
Molière,The Would‐Be Gentleman,✗,✔,Yes,
Molière,The Imaginary Invalid,✗,✔,Yes,
Jean Racine,Bérénice,✗,✔,Yes,
Jean Racine,Phèdre,✗,✔,Yes,
Voltaire,Candide,✗,✔,Yes,voltaire/candide/the-modern-library
Denis Diderot,Rameau’s Nephew,✗,✔,"No, short",
Søren Kierkegaard,Fear and Trembling,✗,✔,Yes,
Friedrich Nietzsche,Beyond Good and Evil,✗,✔,Yes,friedrich-nietzsche/beyond-good-and-evil/helen-zimmern
Alexis de Tocqueville,Democracy in America,✗,✔,Yes,
Honoré de Balzac,Cousin Bette,✗,✔,Yes,
Jane Austen,Emma,✗,✔,Yes,jane-austen/emma
George Eliot,Middlemarch,✗,✔,Yes,george-eliot/middlemarch
Charles Dickens,Little Dorrit,✗,✔,Yes,charles-dickens/little-dorrit
Mark Twain,Huckleberry Finn,✗,✔,Yes,mark-twain/the-adventures-of-huckleberry-finn
Henrik Ibsen,A Doll’s House,✗,✔,Yes,henrik-ibsen/a-dolls-house/r-farquharson-sharp
Henrik Ibsen,The Wild Duck,✗,✔,Yes,
Henrik Ibsen,Hedda Gabler,✗,✔,Yes,henrik-ibsen/hedda-gabler/edmund-gosse_william-archer
Henrik Ibsen,The Master Builder,✗,✔,Yes,
William James,Pragmatism,✗,✔,Yes,william-james/pragmatism
Henry Bergson,An Introduction to Metaphysics,✗,✔,???,
John Dewey,Experience and Education,✗,✔,"No, copyrighted",—
Alfred North Whitehead,Science and the Modern World,✗,✔,Yes,
Bertrand Russell,The Problems of Philosophy,✗,✔,Yes,bertrand-russell/the-problems-of-philosophy
Martin Heidegger,What Is Metaphysics?,✗,✔,"No, translation copyrighted",—
Ludwig Wittgenstein,Philosophical Investigations,✗,✔,"No, copyrighted",—
Karl Barth,The Word of God and the Word of Man,✗,✔,"No, translation copyrighted",—
Henri Poincaré,Science and Hypothesis,✗,✔,Yes,
Max Planck,Scientific Autobiography and Other Papers,✗,✔,"No, translation copyrighted",—
Henry North Whitehead,An Introduction to Mathematics,✗,✔,Yes,
Albert Einstein,Relativity: The Special and the General Theory,✗,✔,Yes,
Arthur Eddington,The Expanding Universe,✗,✔,Copyright expires 2029,—
Niels Bohr,Atomic Theory and the Description of Nature,✗,✔,Copyright expires 2030,—
Niels Bohr,Discussion with Einstein on Epistemology,✗,✔,Too short,—
G. H. Hardy,A Mathematician’s Apology,✗,✔,"No, copyrighted",—
Werner Heisenberg,Physics and Philosophy,✗,✔,"No, copyrighted",—
Erwin Schrödinger,What Is Life?,✗,✔,"No, copyrighted",—
Theodosius Dobzhansky,Genetics and the Origin of Species,✗,✔,"No, copyrighted",—
C. H. Waddington,The Nature of Life,✗,✔,"No, copyrighted",—
Thorstein Veblen,The Theory of the Leisure Class,✗,✔,Yes,thorstein-veblen/the-theory-of-the-leisure-class
R. H. Tawney,The Acquisitive Society,✗,✔,Yes,
John Maynard Keynes,"The General Theory of Employment, Interest and Money",✗,✔,"No, copyrighted",—
Sir James George Frazer,The Golden Bough,✗,✔,Yes,
Max Weber,Essays in Sociology,✗,✔,"No, copyrighted",—
Johan Huizinga,The Autumn of the Middle Ages,✗,✔,Yes,
Claude Lévi‐Strauss,Structural Anthropology,✗,✔,"No, copyrighted",—
Henry James,The Beast in the Jungle,✗,✔,Yes,
George Bernard Shaw,Saint Joan,✗,✔,Yes,
Joseph Conrad,Heart of Darkness,✗,✔,Yes,joseph-conrad/heart-of-darkness
Anton Chekhov,Uncle Vanya,✗,✔,Yes,
Luigi Pirandello,Six Characters in Search of an Author,✗,✔,Yes,luigi-pirandello/six-characters-in-search-of-an-author/edward-storer
Marcel Proust,Remembrance of Things Past: “Swann in Love”,✗,✔,Yes,marcel-proust/in-search-of-lost-time/c-k-scott-moncrieff
Willa Cather,A Lost Lady,✗,✔,Yes,
Thomas Mann,Death in Venice,✗,✔,Yes,
James Joyce,A Portrait of the Artist as a Young Man,✗,✔,Yes,james-joyce/a-portrait-of-the-artist-as-a-young-man
Virginia Woolf,To the Lighthouse,✗,✔,Yes,virginia-woolf/to-the-lighthouse
Franz Kafka,The Metamorphosis,✗,✔,"No, translation copyrighted",—
D. H. Lawrence,The Prussian Officer,✗,✔,"Yes, omnibus",
T. S. Eliot,The Waste Land,✗,✔,"Yes, Omnibus",t-s-eliot/poetry
Eugene O’Neill,Mourning Becomes Electra,✗,✔,Copyright expires 2027,
F. Scott Fitzgerald,The Great Gatsby,✗,✔,Yes,f-scott-fitzgerald/the-great-gatsby
William Faulkner,A Rose for Emily,✗,✔,Copyright expires 2026,
Bertolt Brecht,Mother Courage and Her Children,✗,✔,"No, copyrighted",—
Ernest Hemingway,The Short Happy Life of Francis Macomber,✗,✔,"No, copyrighted",—
George Orwell,Animal Farm,✗,✔,"No, copyrighted",—
Samuel Beckett,Waiting for Godot,✗,✔,"No, copyrighted",—
