Author,Work,Great Books 1952,Great Books 1990,Suitable for SE,Exists on SE,Exists elsewhere,Additional collections
Homer,The Iliad,✔,✔,Yes,homer/the-iliad/william-cullen-bryant,—,—
Homer,The Odyssey,✔,✔,Yes,homer/the-odyssey/william-cullen-bryant,—,—
Aeschylus,The Suppliant Maidens,✔,✔,Yes,,https://gutenberg.org/ebooks/8714,
Aeschylus,The Persians,✔,✔,Yes,,https://gutenberg.org/ebooks/8714,
Aeschylus,Seven Against Thebes,✔,✔,Yes,,https://gutenberg.org/ebooks/8714,
Aeschylus,Prometheus Bound,✔,✔,Yes,,https://gutenberg.org/ebooks/8714,
Aeschylus,Agamemnon,✔,✔,Yes,,https://gutenberg.org/ebooks/8604,The Oresteia
Aeschylus,Choephoroe,✔,✔,Yes,,https://gutenberg.org/ebooks/8604,The Oresteia
Aeschylus,The Eumenides,✔,✔,Yes,,https://gutenberg.org/ebooks/8604,The Oresteia
Sophocles,Oedipus the King,✔,✔,Yes,,https://gutenberg.org/ebooks/31,The Oedipus Cycle
Sophocles,Oedipus at Colonus,✔,✔,Yes,,https://gutenberg.org/ebooks/31,The Oedipus Cycle
Sophocles,Antigone,✔,✔,Yes,,https://gutenberg.org/ebooks/31,The Oedipus Cycle
Sophocles,Ajax,✔,✔,Yes,,https://gutenberg.org/ebooks/14484,
Sophocles,Electra,✔,✔,Yes,,https://gutenberg.org/ebooks/14484,
Sophocles,The Trachiniae,✔,✔,Yes,,https://gutenberg.org/ebooks/14484,
Sophocles,Philoctetes,✔,✔,Yes,,https://gutenberg.org/ebooks/14484,
Euripides,Rhesus,✔,✔,Yes,,https://gutenberg.org/ebooks/35170,
Euripides,Medea,✔,✔,Yes,,https://gutenberg.org/ebooks/35451,
Euripides,Hippolytus,✔,✔,Yes,,https://gutenberg.org/ebooks/8418,
Euripides,Alcestis,✔,✔,Yes,,https://gutenberg.org/ebooks/10523,
Euripides,Heracleidae,✔,✔,Yes,,https://gutenberg.org/ebooks/15081,
Euripides,The Suppliants,✔,✔,Yes,,—,—
Euripides,The Trojan Women,✔,✔,Yes,,https://gutenberg.org/ebooks/10096,
Euripides,Ion,✔,✔,Yes,,—,—
Euripides,Helen,✔,✔,Yes,,—,—
Euripides,Andromache,✔,✔,Yes,,—,—
Euripides,Electra,✔,✔,Yes,,https://gutenberg.org/ebooks/14322,
Euripides,Bacchantes,✔,✔,Yes,,"https://gutenberg.org/ebooks/8418
https://gutenberg.org/ebooks/35173",
Euripides,Hecuba,✔,✔,Yes,,https://gutenberg.org/ebooks/15081,
Euripides,Heracles Mad,✔,✔,Yes,,—,—
Euripides,The Phoenician Women,✔,✔,Yes,,https://gutenberg.org/ebooks/15081,
Euripides,Orestes,✔,✔,Yes,,https://gutenberg.org/ebooks/15081,
Euripides,Iphigenia in Tauris,✔,✔,Yes,,https://gutenberg.org/ebooks/15081,
Euripides,Iphigenia in Aulis,✔,✔,Yes,,https://gutenberg.org/ebooks/15081,
Euripides,Cyclops,✔,✔,Yes,,https://gutenberg.org/ebooks/15081,
Aristophanes,The Acharnians,✔,✔,Yes,,https://gutenberg.org/ebooks/3012,
Aristophanes,The Knights,✔,✔,Yes,,https://gutenberg.org/ebooks/8688,
Aristophanes,The Clouds,✔,✔,Yes,,https://gutenberg.org/ebooks/2562,
Aristophanes,The Wasps,✔,✔,Yes,,https://gutenberg.org/ebooks/8689,
Aristophanes,Peace,✔,✔,Yes,,https://gutenberg.org/ebooks/2571,
Aristophanes,The Birds,✔,✔,Yes,,https://gutenberg.org/ebooks/3013,
Aristophanes,The Frogs,✔,✔,Yes,,https://gutenberg.org/ebooks/7998,
Aristophanes,Lysistrata,✔,✔,Yes,,https://gutenberg.org/ebooks/7700,
Aristophanes,Thesmophoriazusae,✔,✔,Yes,,https://gutenberg.org/ebooks/8689,
Aristophanes,Ecclesiazousae,✔,✔,Yes,,https://gutenberg.org/ebooks/8689,
Aristophanes,Plutus,✔,✔,Yes,,https://gutenberg.org/ebooks/8689,
Herodotus,The History,✔,✔,Yes,,"https://gutenberg.org/ebooks/2707
https://gutenberg.org/ebooks/2456",
Thucydides,History of the Peloponnesian War,✔,✔,Yes,,https://gutenberg.org/ebooks/7142,
Plato,Charmides,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1580,Dialogues
Plato,Lysis,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1579,Dialogues
Plato,Laches,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1584,Dialogues
Plato,Protagoras,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1591,Dialogues
Plato,Euthydemus,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1598,Dialogues
Plato,Cratylus,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1616,Dialogues
Plato,Phaedrus,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1636,Dialogues
Plato,Ion,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1635,Dialogues
Plato,Symposium,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1600,Dialogues
Plato,Meno,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1643,Dialogues
Plato,Euthyphro,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1642,Dialogues
Plato,Apology,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1656,Dialogues
Plato,Crito,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1657,Dialogues
Plato,Phaedo,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1658,Dialogues
Plato,Gorgias,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1672,Dialogues
Plato,The Republic,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1497,Dialogues
Plato,Timaeus,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1572,Dialogues
Plato,Critias,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1571,Dialogues
Plato,Parmenides,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1687,Dialogues
Plato,Theaetetus,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1726,Dialogues
Plato,Sophist,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1735,Dialogues
Plato,Statesman,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1738,Dialogues
Plato,Philebus,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1744,Dialogues
Plato,Laws,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/1750,Dialogues
Plato,The Seventh Letter,✔,✔,Yes,,,
Aristotle,Categories,✔,✔,Yes,,https://gutenberg.org/ebooks/2412,Organon
Aristotle,On Interpretation,✔,✔,Yes,,,Organon
Aristotle,Prior Analytics,✔,✔,Yes,,,Organon
Aristotle,Posterior Analytics,✔,✔,Yes,,,Organon
Aristotle,Topics,✔,✔,Yes,,,Organon
Aristotle,Sophistical Refutations,✔,✔,Yes,,,Organon
Aristotle,Physics,✔,✔,Yes,,,
Aristotle,On the Heavens,✔,✔,Yes,,,
Aristotle,On Generation and Corruption,✔,✔,Yes,,,
Aristotle,Meteorology,✔,✔,Yes,,,
Aristotle,Metaphysics,✔,✔,Yes,,,
Aristotle,On the Soul,✔,✔,Yes,,,
Aristotle,Minor biological works,✔,✔,"Yes, omnibus?",,,
Aristotle,History of Animals,✔,✔,"Yes, omnibus",,https://gutenberg.org/ebooks/59058,
Aristotle,Parts of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,On the Motion of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,On the Gait of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,On the Generation of Animals,✔,✔,"Yes, omnibus",,,
Aristotle,Nicomachean Ethics,✔,✔,Yes,aristotle/nicomachean-ethics/f-h-peters,—,—
Aristotle,Politics,✔,✔,Yes,,https://gutenberg.org/ebooks/6762,
Aristotle,The Athenian Constitution,✔,✔,???,,https://gutenberg.org/ebooks/26095,
Aristotle,Rhetoric,✔,✔,???,,https://gutenberg.org/ebooks/26095,
Aristotle,Poetics,✔,✔,Yes,,https://gutenberg.org/ebooks/1974,
Hippocrates,Works (is this the Hippocratic Corpus?),✔,✔,Yes,,https://gutenberg.org/ebooks/1974,
Galen,On the Natural Faculties,✔,✔,Yes,,https://gutenberg.org/ebooks/43383,
Euclid,The Thirteen Books of Euclid’s Elements,✔,✔,Yes,,https://gutenberg.org/ebooks/21076,
Archimedes,On the Sphere and Cylinder,✔,✔,Yes,,,
Archimedes,Measurement of a Circle,✔,✔,Yes,,,
Archimedes,On Conoids and Spheroids,✔,✔,Yes,,,
Archimedes,On Spirals,✔,✔,Yes,,,
Archimedes,On the Equilibrium of Planes,✔,✔,Yes,,,
Archimedes,The Sand Reckoner,✔,✔,Yes,,,
Archimedes,The Quadrature of the Parabola,✔,✔,Yes,,,
Archimedes,On Floating Bodies,✔,✔,Yes,,,
Archimedes,Book of Lemmas,✔,✔,Yes,,,
Archimedes,The Method Treating of Mechanical Problems,✔,✔,Yes,,https://gutenberg.org/ebooks/7825,
Apollonius of Perga,On Conic Sections,✔,✔,???,,,
Nichomachus of Gerasa,Introduction to Arithmetic,✔,✔,???,,,
Lucretius,On the Nature of Things,✔,✔,Yes,,https://gutenberg.org/ebooks/785,
Epictetus,The Discourses,✔,✔,Yes,,,
Marcus Aurelius,The Meditations,✔,✔,Yes,marcus-aurelius/meditations/george-long,—,—
Virgil,Eclogues,✔,✔,Yes,,https://gutenberg.org/ebooks/230,
Virgil,Georgics,✔,✔,Yes,,https://gutenberg.org/ebooks/232,
Virgil,Aeneid,✔,✔,Yes,virgil/the-aeneid/john-dryden,—,—
Plutarch,The Lives of the Noble Grecians and Romans,✔,✔,Yes,,"https://gutenberg.org/ebooks/14033
https://gutenberg.org/ebooks/14114
https://gutenberg.org/ebooks/14140
https://gutenberg.org/ebooks/44315",
Tacitus,The Annals,✔,✔,Yes,,https://gutenberg.org/ebooks/7959,
Tacitus,The Histories,✔,✔,Yes,,https://gutenberg.org/ebooks/16927,
Ptolemy,Almagest,✔,✔,Yes,,,
Nicolaus Copernicus,On the Revolutions of Heavenly Spheres,✔,✔,Yes,,,
Johannes Kepler,Epitome of Copernican Astronomy,✔,✔,Yes,,,
Johannes Kepler,The Harmonies of the World,✔,✔,Yes,,,
Plotinus,The Six Enneads,✔,✔,Yes,,"https://gutenberg.org/ebooks/42930
https://gutenberg.org/ebooks/42931
https://gutenberg.org/ebooks/42932
https://gutenberg.org/ebooks/42933",
Augustine of Hippo,Confessions,✔,✔,Yes,,https://gutenberg.org/ebooks/3296,
Augustine of Hippo,The City of God,✔,✔,Yes,,"https://gutenberg.org/ebooks/45304
https://gutenberg.org/ebooks/45305",
Augustine of Hippo,On Christian Doctrine,✔,✔,Yes,,,
Thomas Aquinas,Summa Theologica,✔,✔,Yes,,"https://gutenberg.org/ebooks/17611
https://gutenberg.org/ebooks/17897
https://gutenberg.org/ebooks/18755
https://gutenberg.org/ebooks/19950",
Dante,Divine Comedy,✔,✔,Yes,dante-alighieri/the-divine-comedy/henry-wadsworth-longfellow,—,—
Geoffrey Chaucer,Troilus and Criseyde,✔,✔,Yes,,https://gutenberg.org/ebooks/257,
Geoffrey Chaucer,The Canterbury Tales,✔,✔,Yes,,"https://gutenberg.org/ebooks/2383
https://gutenberg.org/ebooks/22120",
Niccolò Machiavelli,The Prince,✔,✔,Yes,niccolo-machiavelli/the-prince/w-k-marriott,—,—
Thomas Hobbes,Leviathan,✔,✔,Yes,,https://gutenberg.org/ebooks/3207,
François Rabelais,Gargantua and Pantagruel,✔,✔,Yes,,https://gutenberg.org/ebooks/1200,
William Shakespeare,The First Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-i,—,—
William Shakespeare,The Second Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-ii,—,—
William Shakespeare,The Third Part of King Henry the Sixth,✔,✔,Yes,william-shakespeare/henry-vi-part-iii,—,—
William Shakespeare,The Tragedy of Richard the Third,✔,✔,Yes,william-shakespeare/richard-iii,—,—
William Shakespeare,The Comedy of Errors,✔,✔,Yes,william-shakespeare/the-comedy-of-errors,—,—
William Shakespeare,Titus Andronicus,✔,✔,Yes,,,
William Shakespeare,The Taming of the Shrew,✔,✔,Yes,,,
William Shakespeare,The Two Gentlemen of Verona,✔,✔,Yes,,,
William Shakespeare,Love’s Labour’s Lost,✔,✔,Yes,,,
William Shakespeare,Romeo and Juliet,✔,✔,Yes,william-shakespeare/romeo-and-juliet,—,—
William Shakespeare,The Tragedy of King Richard the Second,✔,✔,Yes,,,
William Shakespeare,A Midsummer Night’s Dream,✔,✔,Yes,william-shakespeare/a-midsummer-nights-dream,—,—
William Shakespeare,The Life and Death of King John,✔,✔,Yes,,,
William Shakespeare,The Merchant of Venice,✔,✔,Yes,,,
William Shakespeare,The First Part of King Henry the Fourth,✔,✔,Yes,william-shakespeare/henry-iv-part-i,—,—
William Shakespeare,The Second Part of King Henry the Fourth,✔,✔,Yes,william-shakespeare/henry-iv-part-ii,—,—
William Shakespeare,Much Ado About Nothing,✔,✔,Yes,william-shakespeare/much-ado-about-nothing,—,—
William Shakespeare,The Life of King Henry the Fifth,✔,✔,Yes,william-shakespeare/henry-v,—,—
William Shakespeare,Julius Caesar,✔,✔,Yes,william-shakespeare/julius-caesar,—,—
William Shakespeare,As You Like It,✔,✔,Yes,william-shakespeare/as-you-like-it,—,—
William Shakespeare,"Twelfth Night; or, What You Will",✔,✔,Yes,william-shakespeare/twelfth-night,—,—
William Shakespeare,"The Tragedy of Hamlet, Prince of Denmark",✔,✔,Yes,william-shakespeare/hamlet,—,—
William Shakespeare,The Merry Wives of Windsor,✔,✔,Yes,william-shakespeare/the-merry-wives-of-windsor,—,—
William Shakespeare,Troilus and Cressida,✔,✔,Yes,,,
William Shakespeare,All’s Well That Ends Well,✔,✔,Yes,,,
William Shakespeare,Measure for Measure,✔,✔,Yes,,,
William Shakespeare,"Othello, the Moor of Venice",✔,✔,Yes,william-shakespeare/othello,—,—
William Shakespeare,King Lear,✔,✔,Yes,william-shakespeare/king-lear,—,—
William Shakespeare,Macbeth,✔,✔,Yes,william-shakespeare/macbeth,—,—
William Shakespeare,Antony and Cleopatra,✔,✔,Yes,,,
William Shakespeare,Coriolanus,✔,✔,Yes,,,
William Shakespeare,Timon of Athens,✔,✔,Yes,,,
William Shakespeare,"Pericles, Prince of Tyre",✔,✔,Yes,,,
William Shakespeare,Cymbeline,✔,✔,Yes,,,
William Shakespeare,The Winter’s Tale,✔,✔,Yes,,,
William Shakespeare,The Tempest,✔,✔,Yes,william-shakespeare/the-tempest,—,—
William Shakespeare,The Famous History of the Life of King Henry the Eighth,✔,✔,Yes,william-shakespeare/henry-viii,—,—
William Shakespeare,Sonnets,✔,✔,Yes,william-shakespeare/poetry,—,—
William Gilbert,On the Loadstone and Magnetic Bodies,✔,✔,"No, old science",—,—,—
